Dystans (m),Wysokość (m),Szer. geograficzna,Dł. geograficzna
0,5439.17041015625,-3.05952,37.37121
3.4005604601052544,5437.26611328125,-3.059504598991248,37.3712364189801
6.801120920210509,5435.3564453125,-3.059489197981847,37.37126283795945
10.201681380315764,5433.44189453125,-3.059473796971797,37.37128925693803
13.602241840421017,5431.52197265625,-3.059458395961097,37.37131567591587
17.002802300526273,5429.59716796875,-3.059442994949748,37.37134209489293
20.403362760631527,5427.66748046875,-3.05942759393775,37.37136851386924
23.80392322073678,5425.77734375,-3.059412192925102,37.37139493284479
27.204483680842035,5423.87890625,-3.059396791911805,37.37142135181958
30.60504414094729,5421.97216796875,-3.05938139089786,37.37144777079361
34.005604601052546,5420.05615234375,-3.059365989883264,37.37147418976689
37.4061650611578,5418.1318359375,-3.05935058886802,37.3715006087394
40.806725521263054,5416.19921875,-3.059335187852127,37.37152702771115
44.20728598136831,5414.25732421875,-3.059319786835584,37.37155344668215
47.60784644147356,5412.30712890625,-3.059304385818391,37.37157986565239
51.008406901578816,5410.3486328125,-3.05928898480055,37.37160628462186
54.40896736168407,5408.380859375,-3.059273583782061,37.37163270359058
57.809527821789324,5406.40478515625,-3.059258182762921,37.37165912255855
61.21008828189458,5404.42041015625,-3.059242781743132,37.37168554152574
64.61064874199984,5402.4267578125,-3.059227380722694,37.37171196049218
68.01120920210509,5400.4248046875,-3.059211979701607,37.37173837945787
71.41176966221035,5398.4140625,-3.05919657867987,37.37176479842279
74.8123301223156,5396.39501953125,-3.059181177657485,37.37179121738695
78.21289058242085,5394.3671875,-3.05916577663445,37.37181763635036
81.61345104252611,5392.33056640625,-3.059150375610766,37.37184405531301
85.01401150263136,5390.28564453125,-3.059134974586433,37.37187047427489
88.41457196273662,5388.23193359375,-3.059119573561451,37.37189689323602
91.81513242284187,5386.16943359375,-3.059104172535819,37.37192331219639
95.21569288294712,5384.09814453125,-3.059088771509539,37.37194973115601
98.61625334305238,5382.0185546875,-3.059073370482609,37.37197615011485
102.01681380315763,5379.9306640625,-3.05905796945503,37.37200256907293
105.41737426326289,5377.83349609375,-3.059042568426802,37.37202898803027
108.81793472336814,5375.72998046875,-3.059027167397925,37.37205540698685
112.2184951834734,5373.76806640625,-3.059011766368399,37.37208182594266
115.61905564357865,5371.92822265625,-3.058996365338222,37.37210824489772
119.0196161036839,5370.1650390625,-3.058980964307398,37.37213466385201
122.42017656378916,5368.39990234375,-3.058965563275925,37.37216108280555
125.82073702389441,5366.63330078125,-3.058950162243802,37.37218750175833
129.22129748399968,5364.865234375,-3.05893476121103,37.37221392071034
132.62185794410493,5363.0947265625,-3.058919360177608,37.37224033966161
136.02241840421019,5361.3232421875,-3.058903959143538,37.37226675861211
139.42297886431544,5359.5498046875,-3.058888558108819,37.37229317756185
142.8235393244207,5357.7744140625,-3.05887315707345,37.37231959651084
146.22409978452595,5355.99755859375,-3.058857756037433,37.37234601545906
149.6246602446312,5354.21875,-3.058842355000766,37.37237243440653
153.02522070473645,5352.4384765625,-3.05882695396345,37.37239885335323
156.4257811648417,5350.65625,-3.058811552925485,37.37242527229918
159.82634162494696,5348.87255859375,-3.058796151886871,37.37245169124437
163.22690208505222,5347.0869140625,-3.058780750847607,37.3724781101888
166.62746254515747,5345.29931640625,-3.058765349807696,37.37250452913247
170.02802300526272,5343.51025390625,-3.058749948767133,37.37253094807538
173.42858346536798,5341.7197265625,-3.058734547725924,37.37255736701754
176.82914392547323,5339.92724609375,-3.058719146684064,37.37258378595894
180.2297043855785,5338.1328125,-3.058703745641556,37.37261020489957
183.63026484568374,5336.3369140625,-3.058688344598397,37.37263662383944
187.030825305789,5334.5390625,-3.058672943554591,37.37266304277856
190.43138576589425,5332.73974609375,-3.058657542510135,37.37268946171692
193.8319462259995,5330.93896484375,-3.05864214146503,37.37271588065452
197.23250668610476,5329.13671875,-3.058626740419276,37.37274229959137
200.63306714621,5327.35888671875,-3.058611339372873,37.37276871852745
204.03362760631526,5325.57275390625,-3.058595938325821,37.37279513746276
207.43418806642052,5323.77783203125,-3.05858053727812,37.37282155639733
210.83474852652577,5321.97412109375,-3.058565136229769,37.37284797533113
214.23530898663103,5320.162109375,-3.05854973518077,37.37287439426419
217.63586944673628,5318.34130859375,-3.058534334131121,37.37290081319647
221.03642990684153,5316.51220703125,-3.058518933080825,37.372927232128
224.4369903669468,5314.673828125,-3.058503532029878,37.37295365105876
227.83755082705204,5312.8271484375,-3.058488130978283,37.37298006998877
231.2381112871573,5310.97216796875,-3.058472729926038,37.37300648891803
234.63867174726255,5309.10791015625,-3.058457328873144,37.37303290784652
238.0392322073678,5307.2353515625,-3.058441927819603,37.37305932677425
241.43979266747306,5305.3544921875,-3.058426526765411,37.37308574570123
244.8403531275783,5303.46435546875,-3.05841112571057,37.37311216462745
248.24091358768356,5301.56591796875,-3.05839572465508,37.37313858355291
251.64147404778882,5299.6591796875,-3.058380323598942,37.3731650024776
255.04203450789407,5297.7431640625,-3.058364922542155,37.37319142140154
258.44259496799936,5295.81884765625,-3.058349521484718,37.37321784032472
261.8431554281046,5293.8857421875,-3.058334120426633,37.37324425924714
265.24371588820986,5291.94287109375,-3.058318719367898,37.37327067816881
268.6442763483151,5289.93603515625,-3.058303318308514,37.3732970970897
272.04483680842037,5287.9345703125,-3.058287917248482,37.37332351600985
275.4453972685256,5285.93798828125,-3.0582725161878,37.37334993492924
278.8459577286309,5283.94677734375,-3.058257115126469,37.37337635384787
282.2465181887361,5281.96044921875,-3.05824171406449,37.37340277276574
