Dystans (m),Wysokość (m),Szer. geograficzna,Dł. geograficzna
0,7650.01416015625,27.99082,86.93802
3.491212656468152,7652.3671875,27.99083780979582,86.93799076567294
6.982425312936304,7654.72021484375,27.99085561958546,86.93796153133621
10.473637969404455,7657.0732421875,27.99087342936892,86.93793229698983
13.964850625872607,7659.42578125,27.9908912391462,86.9379030626338
17.456063282340757,7661.77880859375,27.9909090489173,86.9378738282681
20.94727593880891,7664.1318359375,27.99092685868221,86.93784459389272
24.438488595277065,7666.48486328125,27.99094466844095,86.9378153595077
27.929701251745215,7668.83740234375,27.9909624781935,86.93778612511302
31.420913908213365,7671.1904296875,27.99098028793986,86.93775689070868
34.912126564681515,7673.54345703125,27.99099809768005,86.93772765629468
38.40333922114967,7675.896484375,27.99101590741406,86.93769842187102
41.89455187761782,7678.24951171875,27.99103371714188,86.9376691874377
45.38576453408597,7680.60205078125,27.99105152686352,86.93763995299473
48.87697719055413,7682.955078125,27.99106933657898,86.93761071854209
52.36818984702228,7685.30810546875,27.99108714628826,86.93758148407979
55.85940250349043,7687.65185546875,27.99110495599136,86.93755224960782
59.35061515995858,7690.04150390625,27.99112276568827,86.93752301512622
62.84182781642673,7692.43359375,27.991140575379,86.93749378063494
66.33304047289488,7694.82763671875,27.99115838506355,86.937464546134
69.82425312936303,7697.2236328125,27.99117619474192,86.93743531162339
73.3154657858312,7699.6220703125,27.9911940044141,86.93740607710313
76.80667844229934,7702.02294921875,27.99121181408011,86.93737684257322
80.2978910987675,7704.42578125,27.99122962373993,86.93734760803365
83.78910375523564,7706.8310546875,27.99124743339357,86.9373183734844
87.2803164117038,7709.23828125,27.99126524304103,86.93728913892551
90.77152906817194,7711.64794921875,27.99128305268231,86.93725990435695
94.2627417246401,7714.0595703125,27.9913008623174,86.93723066977873
97.75395438110826,7716.4736328125,27.99131867194631,86.93720143519084
101.24516703757641,7718.8896484375,27.99133648156905,86.93717220059331
104.73637969404456,7721.30810546875,27.99135429118559,86.9371429659861
108.22759235051271,7723.728515625,27.99137210079596,86.93711373136925
111.71880500698086,7726.1513671875,27.99138991040014,86.93708449674273
115.21001766344901,7728.576171875,27.99140771999815,86.93705526210655
118.70123031991716,7731.00341796875,27.99142552958997,86.93702602746072
122.19244297638531,7733.43310546875,27.99144333917561,86.93699679280522
125.68365563285346,7735.86474609375,27.99146114875507,86.93696755814007
129.1748682893216,7738.29833984375,27.99147895832834,86.93693832346524
132.66608094578976,7740.734375,27.99149676789543,86.93690908878077
136.1572936022579,7743.1728515625,27.99151457745634,86.93687985408663
139.64850625872606,7745.6826171875,27.99153238701107,86.93685061938284
143.13971891519424,7748.21044921875,27.99155019655962,86.93682138466937
146.6309315716624,7750.740234375,27.99156800610199,86.93679214994626
150.12214422813054,7753.2724609375,27.99158581563817,86.93676291521348
153.6133568845987,7755.80712890625,27.99160362516817,86.93673368047104
157.10456954106684,7758.34375,27.99162143469198,86.93670444571895
160.595782197535,7760.88232421875,27.99163924420962,86.93667521095718
164.08699485400314,7763.423828125,27.99165705372108,86.93664597618577
167.5782075104713,7765.966796875,27.99167486322635,86.93661674140469
171.06942016693944,7768.51220703125,27.99169267272543,86.93658750661395
174.5606328234076,7771.06005859375,27.99171048221834,86.93655827181355
178.05184547987574,7773.60986328125,27.99172829170507,86.9365290370035
181.5430581363439,7776.162109375,27.99174610118562,86.93649980218377
185.03427079281204,7778.71630859375,27.99176391065998,86.93647056735439
188.5254834492802,7781.27294921875,27.99178172012815,86.93644133251534
192.01669610574834,7783.87841796875,27.99179952959015,86.93641209766665
195.50790876221652,7786.53662109375,27.99181733904597,86.9363828628083
198.99912141868467,7789.19873046875,27.9918351484956,86.93635362794028
202.49033407515282,7791.86572265625,27.99185295793905,86.93632439306259
205.98154673162097,7794.53662109375,27.99187076737632,86.93629515817526
209.47275938808912,7797.21240234375,27.9918885768074,86.93626592327826
212.96397204455727,7799.89208984375,27.99190638623231,86.9362366883716
216.45518470102542,7802.57666015625,27.99192419565103,86.93620745345528
219.94639735749357,7805.30078125,27.99194200506358,86.93617821852929
223.43761001396172,7808.10009765625,27.99195981446993,86.93614898359365
226.92882267042987,7810.8994140625,27.99197762387011,86.93611974864837
230.42003532689802,7813.69873046875,27.9919954332641,86.93609051369339
233.91124798336617,7816.498046875,27.99201324265191,86.93606127872877
237.40246063983432,7819.29736328125,27.99203105203354,86.9360320437545
240.89367329630247,7822.0966796875,27.99204886140899,86.93600280877054
244.38488595277062,7824.89599609375,27.99206667077825,86.93597357377695
247.87609860923877,7827.69482421875,27.99208448014133,86.93594433877368
251.36731126570692,7830.494140625,27.99210228949823,86.93591510376076
254.8585239221751,7833.29345703125,27.99212009884895,86.93588586873818
258.3497365786432,7836.0927734375,27.99213790819348,86.93585663370594
261.8409492351114,7838.89208984375,27.99215571753183,86.93582739866403
265.3321618915795,7841.69140625,27.99217352686401,86.93579816361246
268.8233745480477,7844.49072265625,27.99219133619,86.93576892855124
272.3145872045158,7847.2900390625,27.99220914550981,86.93573969348037
275.805799860984,7850.08935546875,27.99222695482342,86.93571045839981
279.2970125174521,7852.888671875,27.99224476413087,86.93568122330962
282.7882251739203,7855.68798828125,27.99226257343212,86.93565198820974
286.2794378303885,7858.4873046875,27.99228038272721,86.93562275310023
289.7706504868566,7861.28662109375,27.9922981920161,86.93559351798105
293.2618631433248,7864.0859375,27.99231600129881,86.93556428285218
296.7530757997929,7866.884765625,27.99233381057534,86.93553504771369
300.2442884562611,7869.68408203125,27.99235161984569,86.93550581256551
