Dystans (m),Wysokość (m),Szer. geograficzna,Dł. geograficzna
0,-404.8970947265625,31.76288,35.53679
3.2988760168169198,-404.9012451171875,31.76287800632274,35.53682477533346
6.5977520336338396,-404.9057312011719,31.76287601263603,35.53685955066542
9.89662805045076,-404.9104919433594,31.76287401893988,35.53689432599588
13.195504067267679,-404.91552734375,31.76287202523429,35.53692910132484
16.4943800840846,-404.9208679199219,31.76287003151924,35.5369638766523
19.79325610090152,-404.926513671875,31.76286803779476,35.53699865197827
23.09213211771844,-404.9324645996094,31.76286604406082,35.53703342730274
26.391008134535358,-404.9386901855469,31.76286405031744,35.53706820262571
29.689884151352278,-404.9452209472656,31.76286205656461,35.53710297794718
32.9887601681692,-404.9520263671875,31.76286006280234,35.53713775326716
36.28763618498612,-404.9591369628906,31.76285806903061,35.53717252858563
39.58651220180304,-404.966552734375,31.76285607524945,35.5372073039026
42.88538821861996,-404.9742431640625,31.76285408145883,35.53724207921807
46.18426423543688,-404.9822387695312,31.76285208765877,35.53727685453206
49.4831402522538,-404.9905395507812,31.76285009384926,35.53731162984454
52.782016269070716,-404.9991149902344,31.76284810003031,35.53734640515552
56.080892285887636,-405.0129089355469,31.7628461062019,35.537381180465
59.379768302704555,-405.0269470214844,31.76284411236405,35.53741595577299
62.678644319521474,-405.0407104492188,31.76284211851675,35.53745073107947
65.9775203363384,-405.05419921875,31.76284012466001,35.53748550638445
69.27639635315532,-405.0673828125,31.76283813079381,35.53752028168795
72.57527236997224,-405.0802612304688,31.76283613691819,35.53755505698993
75.87414838678916,-405.0928344726562,31.7628341430331,35.53758983229043
79.17302440360608,-405.1051330566406,31.76283214913857,35.53762460758941
82.471900420423,-405.1171264648438,31.7628301552346,35.53765938288691
85.77077643723992,-405.1288452148438,31.76282816132118,35.53769415818292
89.06965245405684,-405.1402587890625,31.76282616739831,35.53772893347741
92.36852847087376,-405.1513671875,31.76282417346599,35.53776370877041
95.66740448769067,-405.1622009277344,31.76282217952423,35.53779848406191
98.9662805045076,-405.1727294921875,31.76282018557302,35.53783325935191
102.26515652132451,-405.1829528808594,31.76281819161237,35.53786803464042
105.56403253814143,-405.1929016113281,31.76281619764226,35.53790280992742
108.86290855495835,-405.2025451660156,31.76281420366271,35.53793758521293
112.16178457177527,-405.2118835449219,31.76281220967372,35.53797236049694
115.46066058859219,-405.220947265625,31.76281021567528,35.53800713577944
118.75953660540911,-405.2063598632812,31.76280822166739,35.53804191106045
122.05841262222603,-405.1673583984375,31.76280622765006,35.53807668633996
125.35728863904295,-405.1283264160156,31.76280423362327,35.53811146161797
128.65616465585987,-405.0892944335938,31.76280223958704,35.53814623689449
131.9550406726768,-405.0502624511719,31.76280024554137,35.53818101216951
135.2539166894937,-405.01123046875,31.76279825148625,35.53821578744303
138.55279270631064,-404.9721984863281,31.76279625742168,35.53825056271504
141.85166872312755,-404.9331665039062,31.76279426334766,35.53828533798557
145.15054473994448,-404.8941345214844,31.7627922692642,35.53832011325458
148.44942075676138,-404.8551025390625,31.76279027517129,35.53835488852211
151.74829677357832,-404.8160705566406,31.76278828106894,35.53838966378814
155.04717279039522,-404.7770690917969,31.76278628695714,35.53842443905266
158.34604880721216,-404.738037109375,31.7627842928359,35.53845921431569
161.64492482402906,-404.6990051269531,31.76278229870519,35.53849398957722
164.943800840846,-404.6599731445312,31.76278030456505,35.53852876483725
168.2426768576629,-404.6209411621094,31.76277831041547,35.53856354009578
171.54155287447983,-404.5819091796875,31.76277631625643,35.53859831535281
174.84042889129674,-404.5428771972656,31.76277432208796,35.53863309060834
178.13930490811367,-404.5038452148438,31.76277232791003,35.53866786586238
181.43818092493058,-404.46484375,31.76277033372265,35.53870264111492
